scenario,year,mining_fd_gbp_m,recycling_fd_gbp_m,output_total_gbp_m,gva_total_gbp_m,employment_total,recycling_jobs,mining_jobs,manufacturing_jobs,co2_kt,pm_t,mines_opened,crit_recycled_share,crit_domestic_share,crit_import_share,crit_supply_gap,crit_max_single_country,recycled_share_all,recycling_substitution,company_count,company_mining_count,company_recycler_count,company_downstream_count,company_employee_estimate,company_proposed_mining_jobs,company_capex_pipeline_gbp_m,company_capex_operating_gbp_m,company_capex_proposed_gbp_m,company_recycler_capacity_tpa,avg_recycler_capacity_score,avg_feedstock_score,avg_downstream_demand_score,avg_local_procurement_score,avg_planning_risk_score,cge_wage_index,cge_gva_total_gbp_m,cge_status,cge_max_resid,jobs_Antrim & Newtownabbey,jobs_Ards & North Down,"jobs_Armagh, Banbridge & Craigavon",jobs_Belfast,jobs_Causeway Coast & Glens,jobs_Derry City & Strabane,jobs_Fermanagh & Omagh,jobs_Lisburn & Castlereagh,jobs_Mid & East Antrim,jobs_Mid Ulster,"jobs_Newry, Mourne & Down"
3_primary_extraction,2052,20.14702519197011,55.83889134036438,119.83247783833508,47.65616803861812,1046.6878891317133,488.0390503341329,251.32396923379542,44.3635602931205,96.22728429820364,10.37182951815706,1,0.15023058188943242,0.010592528396415075,0.8391768897141526,0.0,0.8496385764421672,0.03660518834616488,0.009945925290080695,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0131816500563366,40005.642003713525,solved,1.8189894035458565e-11,125.76701107469968,38.20153529608048,109.76070476736773,156.14279524786605,47.619363413313046,53.22464099534464,138.4491087718132,44.9122966181383,78.91933899646367,106.0120555508621,147.67903839976458
3_primary_extraction,2053,20.437729952079536,58.17859374100525,123.71352409697269,49.20177462499019,1079.6067143029527,508.3824724863972,255.12997744786549,45.619601060781726,99.01416864357547,10.653920408484838,1,0.1490659997636445,0.010571243745935155,0.8403627564904204,0.0,0.8496385764421672,0.037457691995048184,0.010323787464094552,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0131816500563366,40005.642003713525,solved,1.8189894035458565e-11,130.49715096002063,39.40306408554512,113.53340873087888,161.88786129136162,48.970833084531364,54.767378859827765,141.08058454129798,46.400485055889824,81.13014084338118,108.81462650424047,153.12118034597796
3_primary_extraction,2054,20.741272400214875,60.637126981878815,127.7860300281304,50.82357207755336,1114.146862514163,529.7573241872882,259.10574422045954,46.93548294782451,101.93689539585641,10.949697179660541,1,0.14783838981673988,0.010543837036859129,0.8416177731464008,0.0,0.8496385764421672,0.03831891073576658,0.01070164963810841,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0131816500563366,40005.642003713525,solved,1.8189894035458565e-11,135.4645352251536,40.66340150915799,117.49346043099519,167.9196694154898,50.38786109037995,56.385095241605654,143.83387843270845,47.962063139554026,83.44831688507139,111.75260280581034,158.8359783382367
3_primary_extraction,2055,21.05822651877823,63.22214526166933,132.0617874304531,52.52625332220321,1150.407624768728,552.2299770125849,263.25912863179343,48.31476298214393,105.00362923385411,11.259970358271904,1,0.1465454148397706,0.010509998807584334,0.8429445863526451,0.0,0.8496385764421671,0.039187494261999856,0.011079511812122267,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0131816500563366,40005.642003713525,solved,1.8189894035458565e-11,140.68418590309753,41.98614375662234,121.65253392082586,174.25629867127978,51.874366471949045,58.08229432072996,146.7153792700206,49.60156873732385,85.88026982833864,114.83394299285328,164.8406408956871
4_integrated_circular_primary,2026,15.525115,55.391236899999996,118.85217009235915,47.65812503830122,1021.1666115451845,486.23534369097285,199.74785044199493,48.829356389433656,92.7616342188123,9.700509905709538,0,0.41958765415971827,0.009854423292273238,0.5705579225480085,0.0,0.7992869238005645,0.04367191447644586,0.030254035964930072,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.000897742071203,40033.60559927975,solved,7.689777703490108e-10,126.00407513561653,39.36705937863138,109.85885622336676,160.08953917076593,47.0505908226978,52.96497206202959,118.12543682432141,45.99476559008554,75.84384474298135,99.53609641181458,146.3313751828737
4_integrated_circular_primary,2027,15.6203598,55.391236899999996,118.70789649144854,47.58635682963562,1020.4057082923528,486.1505571624283,200.72605299690375,48.57424106082265,92.70348690617485,9.702934002441632,0,0.40491460098191884,0.009907495461225903,0.5851779035568553,0.0,0.8045249294449671,0.043519056918442954,0.060508071929860144,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0017179779859613,40033.609764104265,solved,2.1827872842550278e-11,125.88992965459062,39.26130334386541,109.71720034029995,159.7960769193383,46.97488810027549,52.87070339570823,118.4322576091846,45.890988636817205,75.79442228466246,99.53489465496008,146.24304335265052
4_integrated_circular_primary,2028,15.719754552,55.391236899999996,118.57271303226283,47.51823508352173,1019.7300385314961,486.0703671472369,201.74982449693394,48.32416356645621,92.65469416392887,9.706471318477671,0,0.3907035570847929,0.009959687099955407,0.5993367558152517,0.0,0.8093749346712659,0.04336119884696849,0.09076210789479022,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.002590903723084,40033.61414160809,solved,3.368541001691483e-10,125.78074625297188,39.15886708858925,109.58244962281351,159.51000789198213,46.90419507466852,52.78182293853381,118.76114894531608,45.79053224688364,75.75325759109649,99.54579877420187,146.1612121044391
4_integrated_circular_primary,2029,15.99356226208,55.391236899999996,118.73101337972241,47.56349368928376,1021.9925417309031,486.00319247228435,204.85658549737414,48.19432714373885,92.94514250298388,9.753422212879347,1,0.3769392000586897,0.010010908849844152,0.6130498910914661,0.0,0.813865680251172,0.04319816615151282,0.12101614385972029,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0035199530450165,40033.61873870373,solved,8.669758244650438e-10,125.80179169067503,39.14873891954541,109.65362782610286,159.3921604811949,47.00064113915398,52.86873014978646,120.04253902419478,45.78119824325226,76.01153863940506,100.01879493201912,146.27278068557334
4_integrated_circular_primary,2030,16.1018141069632,55.391236899999996,118.61397032465723,47.50259735026292,1021.4892205668319,485.93164804236903,205.97810024139943,47.953688211125595,92.91540027567582,9.759261675592882,1,0.36360667382222184,0.010061064800627257,0.6263322613771508,0.0,0.8180237780103445,0.043029776825466035,0.15127017982465038,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0045087897912335,40033.6235619088,solved,1.3698127077077515e-09,125.70230304009678,39.052730255798735,109.53250634290754,159.12011774894668,46.93997419325446,52.79058495130808,120.41811432439616,45.68717002238726,75.98719168897397,100.0546284567479,146.20389954201434
4_integrated_circular_primary,2031,16.21478980336173,55.391236899999996,118.50673599667864,47.44560989393939,1021.0790371537204,485.86418664167667,207.15257807877967,47.718226007496405,92.8959812042661,9.766348284072997,1,0.35069157657389105,0.010110052092609368,0.6391983713334997,0.0,0.8218738685280967,0.042855840429016016,0.18152421578958045,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0055613240887074,40033.62861721713,solved,1.6488002074765973e-09,125.60797891453906,38.96021420464534,109.4187313814742,158.85561473151768,46.88474974984371,52.71826837155761,120.8189957416638,45.59662639001954,75.97196069515357,100.10396990513179,146.14192706817406
